Latitude,Longitude,WaterDepth,ObsvnTop,ObsvnBot,LocnName,DataSetKey,LocnKey,ObsvnKey,Device,DataTypes,Gravel,Sand,Mud,Clay,Grainsze,Sorting,Facies,FacMshp,FolkCde,RckMshp,VegMshp,Carbonate,MunslColr,OrgCarbn,lShearStr,Porosity,PWaveVel,Roughness,lCritShStr,GeolAge,ObsvnDetai,Key,ObsvnDate,DateSrc
47.49333,-124.3867,13,-99,-99,OC014-57-BBB,167,144501,181788,UnidDevice,GRZ,0,98,2,0,3,0.7,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0168603,<1968,collection date
47.49667,-124.4133,18,-99,-99,OC014-58-AAA,167,144502,181789,UnidDevice,LTH.TXR,0,96,4,1,3,0.6,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0168604,<1968,collection date
47.49667,-124.4133,18,-99,-99,OC014-58-AAA,167,144502,181790,UnidDevice,GRZ,0,96,4,1,3.1,0.7,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0168605,<1968,collection date
47.49667,-124.4133,18,-99,-99,OC014-58-BBB,167,144503,181791,UnidDevice,LTH.TXR,0,97,3,0,3,0.5,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0168606,<1968,collection date
47.49667,-124.4133,18,-99,-99,OC014-58-BBB,167,144503,181792,UnidDevice,GRZ,0,97,3,0,3,0.6,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0168607,<1968,collection date
47.49667,-122.4117,192,0,-99,UV52F_S15,166,144092,180964,GravityCorer,TXR,0,2,98,50,8,-99,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0168608,195209,collection date
47.4967,-124.67,73,0,0,W7606_52,174,147013,187163,UnidDevice,TXR,0,90,10,4,-99,-99,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,surface,ext_0168609,<1978,collection date
47.4967,-124.5833,47,0,0,W7606_51,174,147012,187162,UnidDevice,TXR,0,98,2,1,-99,-99,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,surface,ext_0168610,<1978,collection date
47.49833,-124.4433,20,-99,-99,OC014-59-AAA,167,144504,181793,UnidDevice,LTH.TXR,0,95,5,0,3,0.6,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0168611,<1968,collection date
47.49833,-124.4433,20,-99,-99,OC014-59-AAA,167,144504,181794,UnidDevice,GRZ,0,95,5,0,3.1,0.7,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0168612,<1968,collection date
47.49833,-124.4433,20,-99,-99,OC014-59-BBB,167,144505,181795,UnidDevice,LTH.TXR,0,96,4,1,3,0.7,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0168613,<1968,collection date
47.49833,-124.4433,20,-99,-99,OC014-59-BBB,167,144505,181796,UnidDevice,GRZ,0,96,4,1,3.1,0.7,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0168614,<1968,collection date
47.5,-124.835,132,0,0,W7606_54,174,147015,187165,UnidDevice,TXR,0,27,73,15,-99,-99,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,surface,ext_0168615,<1978,collection date
47.5,-124.75,104,0,0,W7606_53,174,147014,187164,UnidDevice,TXR,0,32,68,14,-99,-99,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,surface,ext_0168616,<1978,collection date
47.5,-124.6,59,0,0.05,TT038-34,168,146440,185662,Grab,TXR,0,100,0,0,2.6,-99,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0168617,<1974,collection date
47.5,-124.6,59,0,0.05,TT038-34,168,146440,185663,Grab,GRZ,0,100,0,-99,2.6,0.5,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0168618,<1974,collection date
47.5,-122.5,-99,0,0,OA075_1_col,166,144083,180955,UnidDevice,TXR,7,88,5,3,1.8,-99,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,surface,ext_0168619,196602,collection date
47.50333,-124.47,23,-99,-99,OC014-60-AAA,167,144506,181797,UnidDevice,LTH.TXR,0,97,3,0,3,0.5,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0168620,<1968,collection date
